Data Table for Weekly Deaths - The United States
Date generated: Sun Apr 20 2025 15:36:56 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Apr 12 2025,176,Apr 17 2025
United States,Apr  5 2025,294,Apr 17 2025
United States,Mar 29 2025,404,Apr 17 2025
United States,Mar 22 2025,419,Apr 17 2025
United States,Mar 15 2025,474,Apr 17 2025
United States,Mar  8 2025,599,Apr 17 2025
United States,Mar  1 2025,670,Apr 17 2025
United States,Feb 22 2025,716,Apr 17 2025
United States,Feb 15 2025,743,Apr 17 2025
United States,Feb  8 2025,816,Apr 17 2025
United States,Feb  1 2025,920,Apr 17 2025
United States,Jan 25 2025,949,Apr 17 2025
United States,Jan 18 2025,991,Apr 17 2025
United States,Jan 11 2025,1041,Apr 17 2025
United States,Jan  4 2025,892,Apr 17 2025
United States,Dec 28 2024,666,Apr 17 2025
United States,Dec 21 2024,592,Apr 17 2025
United States,Dec 14 2024,561,Apr 17 2025
United States,Dec  7 2024,494,Apr 17 2025
United States,Nov 30 2024,494,Apr 17 2025
United States,Nov 23 2024,471,Apr 17 2025
United States,Nov 16 2024,527,Apr 17 2025
United States,Nov  9 2024,557,Apr 17 2025
United States,Nov  2 2024,602,Apr 17 2025
United States,Oct 26 2024,644,Apr 17 2025
United States,Oct 19 2024,734,Apr 17 2025
United States,Oct 12 2024,804,Apr 17 2025
United States,Oct  5 2024,972,Apr 17 2025
United States,Sep 28 2024,1030,Apr 17 2025
United States,Sep 21 2024,1102,Apr 17 2025
United States,Sep 14 2024,1241,Apr 17 2025
United States,Sep  7 2024,1224,Apr 17 2025
United States,Aug 31 2024,1355,Apr 17 2025
United States,Aug 24 2024,1252,Apr 17 2025
United States,Aug 17 2024,1082,Apr 17 2025
United States,Aug 10 2024,1067,Apr 17 2025
United States,Aug  3 2024,983,Apr 17 2025
United States,Jul 27 2024,857,Apr 17 2025
United States,Jul 20 2024,734,Apr 17 2025
United States,Jul 13 2024,592,Apr 17 2025
United States,Jul  6 2024,532,Apr 17 2025
United States,Jun 29 2024,443,Apr 17 2025
United States,Jun 22 2024,432,Apr 17 2025
United States,Jun 15 2024,366,Apr 17 2025
United States,Jun  8 2024,314,Apr 17 2025
United States,Jun  1 2024,325,Apr 17 2025
United States,May 25 2024,344,Apr 17 2025
United States,May 18 2024,340,Apr 17 2025
United States,May 11 2024,334,Apr 17 2025
United States,May  4 2024,426,Apr 17 2025
United States,Apr 27 2024,429,Apr 17 2025
United States,Apr 20 2024,499,Apr 17 2025
United States,Apr 13 2024,573,Apr 17 2025
United States,Apr  6 2024,631,Apr 17 2025
United States,Mar 30 2024,737,Apr 17 2025
United States,Mar 23 2024,851,Apr 17 2025
United States,Mar 16 2024,1041,Apr 17 2025
United States,Mar  9 2024,1102,Apr 17 2025
United States,Mar  2 2024,1270,Apr 17 2025
United States,Feb 24 2024,1326,Apr 17 2025
United States,Feb 17 2024,1390,Apr 17 2025
United States,Feb 10 2024,1621,Apr 17 2025
United States,Feb  3 2024,1744,Apr 17 2025
United States,Jan 27 2024,2134,Apr 17 2025
United States,Jan 20 2024,2367,Apr 17 2025
United States,Jan 13 2024,2584,Apr 17 2025
United States,Jan  6 2024,2494,Apr 17 2025
United States,Dec 30 2023,2231,Apr 17 2025
United States,Dec 23 2023,1936,Apr 17 2025
United States,Dec 16 2023,1845,Apr 17 2025
United States,Dec  9 2023,1793,Apr 17 2025
United States,Dec  2 2023,1732,Apr 17 2025
United States,Nov 25 2023,1424,Apr 17 2025
United States,Nov 18 2023,1431,Apr 17 2025
United States,Nov 11 2023,1394,Apr 17 2025
United States,Nov  4 2023,1246,Apr 17 2025
United States,Oct 28 2023,1292,Apr 17 2025
United States,Oct 21 2023,1394,Apr 17 2025
United States,Oct 14 2023,1315,Apr 17 2025
United States,Oct  7 2023,1398,Apr 17 2025
United States,Sep 30 2023,1456,Apr 17 2025
United States,Sep 23 2023,1418,Apr 17 2025
United States,Sep 16 2023,1410,Apr 17 2025
United States,Sep  9 2023,1313,Apr 17 2025
United States,Sep  2 2023,1187,Apr 17 2025
United States,Aug 26 2023,1067,Apr 17 2025
United States,Aug 19 2023,921,Apr 17 2025
United States,Aug 12 2023,752,Apr 17 2025
United States,Aug  5 2023,673,Apr 17 2025
United States,Jul 29 2023,553,Apr 17 2025
United States,Jul 22 2023,540,Apr 17 2025
United States,Jul 15 2023,510,Apr 17 2025
United States,Jul  8 2023,492,Apr 17 2025
United States,Jul  1 2023,542,Apr 17 2025
United States,Jun 24 2023,583,Apr 17 2025
United States,Jun 17 2023,612,Apr 17 2025
United States,Jun 10 2023,633,Apr 17 2025
United States,Jun  3 2023,693,Apr 17 2025
United States,May 27 2023,742,Apr 17 2025
United States,May 20 2023,759,Apr 17 2025
United States,May 13 2023,838,Apr 17 2025
United States,May  6 2023,946,Apr 17 2025
United States,Apr 29 2023,1028,Apr 17 2025
United States,Apr 22 2023,1197,Apr 17 2025
United States,Apr 15 2023,1217,Apr 17 2025
United States,Apr  8 2023,1373,Apr 17 2025
United States,Apr  1 2023,1449,Apr 17 2025
United States,Mar 25 2023,1668,Apr 17 2025
United States,Mar 18 2023,1761,Apr 17 2025
United States,Mar 11 2023,1849,Apr 17 2025
United States,Mar  4 2023,2000,Apr 17 2025
United States,Feb 25 2023,2154,Apr 17 2025
United States,Feb 18 2023,2101,Apr 17 2025
United States,Feb 11 2023,2347,Apr 17 2025
United States,Feb  4 2023,2642,Apr 17 2025
United States,Jan 28 2023,2914,Apr 17 2025
United States,Jan 21 2023,3258,Apr 17 2025
United States,Jan 14 2023,3688,Apr 17 2025
United States,Jan  7 2023,3863,Apr 17 2025
United States,Dec 31 2022,3688,Apr 17 2025
United States,Dec 24 2022,3386,Apr 17 2025
United States,Dec 17 2022,3218,Apr 17 2025
United States,Dec 10 2022,3051,Apr 17 2025
United States,Dec  3 2022,2610,Apr 17 2025
United States,Nov 26 2022,2515,Apr 17 2025
United States,Nov 19 2022,2282,Apr 17 2025
United States,Nov 12 2022,2216,Apr 17 2025
United States,Nov  5 2022,2267,Apr 17 2025
United States,Oct 29 2022,2243,Apr 17 2025
United States,Oct 22 2022,2264,Apr 17 2025
United States,Oct 15 2022,2155,Apr 17 2025
United States,Oct  8 2022,2199,Apr 17 2025
United States,Oct  1 2022,2398,Apr 17 2025
United States,Sep 24 2022,2573,Apr 17 2025
United States,Sep 17 2022,2523,Apr 17 2025
United States,Sep 10 2022,2824,Apr 17 2025
United States,Sep  3 2022,2949,Apr 17 2025
United States,Aug 27 2022,3055,Apr 17 2025
United States,Aug 20 2022,3183,Apr 17 2025
United States,Aug 13 2022,3290,Apr 17 2025
United States,Aug  6 2022,3386,Apr 17 2025
United States,Jul 30 2022,3415,Apr 17 2025
United States,Jul 23 2022,3244,Apr 17 2025
United States,Jul 16 2022,2940,Apr 17 2025
United States,Jul  9 2022,2608,Apr 17 2025
United States,Jul  2 2022,2427,Apr 17 2025
United States,Jun 25 2022,2339,Apr 17 2025
United States,Jun 18 2022,2211,Apr 17 2025
United States,Jun 11 2022,2146,Apr 17 2025
United States,Jun  4 2022,2013,Apr 17 2025
United States,May 28 2022,1955,Apr 17 2025
United States,May 21 2022,1745,Apr 17 2025
United States,May 14 2022,1683,Apr 17 2025
United States,May  7 2022,1435,Apr 17 2025
United States,Apr 30 2022,1431,Apr 17 2025
United States,Apr 23 2022,1355,Apr 17 2025
United States,Apr 16 2022,1414,Apr 17 2025
United States,Apr  9 2022,1571,Apr 17 2025
United States,Apr  2 2022,1921,Apr 17 2025
United States,Mar 26 2022,2512,Apr 17 2025
United States,Mar 19 2022,3136,Apr 17 2025
United States,Mar 12 2022,4409,Apr 17 2025
United States,Mar  5 2022,6068,Apr 17 2025
United States,Feb 26 2022,8300,Apr 17 2025
United States,Feb 19 2022,11567,Apr 17 2025
United States,Feb 12 2022,15326,Apr 17 2025
United States,Feb  5 2022,18758,Apr 17 2025
United States,Jan 29 2022,20974,Apr 17 2025
United States,Jan 22 2022,21345,Apr 17 2025
United States,Jan 15 2022,19090,Apr 17 2025
United States,Jan  8 2022,15128,Apr 17 2025
United States,Jan  1 2022,11679,Apr 17 2025
United States,Dec 25 2021,10458,Apr 17 2025
United States,Dec 18 2021,10250,Apr 17 2025
United States,Dec 11 2021,9734,Apr 17 2025
United States,Dec  4 2021,8781,Apr 17 2025
United States,Nov 27 2021,7886,Apr 17 2025
United States,Nov 20 2021,7310,Apr 17 2025
United States,Nov 13 2021,7159,Apr 17 2025
United States,Nov  6 2021,7287,Apr 17 2025
United States,Oct 30 2021,7960,Apr 17 2025
United States,Oct 23 2021,8941,Apr 17 2025
United States,Oct 16 2021,9878,Apr 17 2025
United States,Oct  9 2021,11180,Apr 17 2025
United States,Oct  2 2021,12830,Apr 17 2025
United States,Sep 25 2021,14347,Apr 17 2025
United States,Sep 18 2021,15211,Apr 17 2025
United States,Sep 11 2021,15417,Apr 17 2025
United States,Sep  4 2021,15493,Apr 17 2025
United States,Aug 28 2021,14174,Apr 17 2025
United States,Aug 21 2021,12181,Apr 17 2025
United States,Aug 14 2021,9406,Apr 17 2025
United States,Aug  7 2021,6484,Apr 17 2025
United States,Jul 31 2021,4105,Apr 17 2025
United States,Jul 24 2021,2760,Apr 17 2025
United States,Jul 17 2021,1991,Apr 17 2025
United States,Jul 10 2021,1645,Apr 17 2025
United States,Jul  3 2021,1543,Apr 17 2025
United States,Jun 26 2021,1635,Apr 17 2025
United States,Jun 19 2021,1776,Apr 17 2025
United States,Jun 12 2021,2035,Apr 17 2025
United States,Jun  5 2021,2347,Apr 17 2025
United States,May 29 2021,2770,Apr 17 2025
United States,May 22 2021,3238,Apr 17 2025
United States,May 15 2021,3678,Apr 17 2025
United States,May  8 2021,4006,Apr 17 2025
United States,May  1 2021,4165,Apr 17 2025
United States,Apr 24 2021,4601,Apr 17 2025
United States,Apr 17 2021,4450,Apr 17 2025
United States,Apr 10 2021,4313,Apr 17 2025
United States,Apr  3 2021,4197,Apr 17 2025
United States,Mar 27 2021,4461,Apr 17 2025
United States,Mar 20 2021,4893,Apr 17 2025
United States,Mar 13 2021,5725,Apr 17 2025
United States,Mar  6 2021,6731,Apr 17 2025
United States,Feb 27 2021,8654,Apr 17 2025
United States,Feb 20 2021,10807,Apr 17 2025
United States,Feb 13 2021,13519,Apr 17 2025
United States,Feb  6 2021,17034,Apr 17 2025
United States,Jan 30 2021,20322,Apr 17 2025
United States,Jan 23 2021,23687,Apr 17 2025
United States,Jan 16 2021,25692,Apr 17 2025
United States,Jan  9 2021,25974,Apr 17 2025
United States,Jan  2 2021,24845,Apr 17 2025
United States,Dec 26 2020,23364,Apr 17 2025
United States,Dec 19 2020,22314,Apr 17 2025
United States,Dec 12 2020,20913,Apr 17 2025
United States,Dec  5 2020,18545,Apr 17 2025
United States,Nov 28 2020,15615,Apr 17 2025
United States,Nov 21 2020,13343,Apr 17 2025
United States,Nov 14 2020,10644,Apr 17 2025
United States,Nov  7 2020,8754,Apr 17 2025
United States,Oct 31 2020,7019,Apr 17 2025
United States,Oct 24 2020,5990,Apr 17 2025
United States,Oct 17 2020,5195,Apr 17 2025
United States,Oct 10 2020,4813,Apr 17 2025
United States,Oct  3 2020,4240,Apr 17 2025
United States,Sep 26 2020,4296,Apr 17 2025
United States,Sep 19 2020,4273,Apr 17 2025
United States,Sep 12 2020,4618,Apr 17 2025
United States,Sep  5 2020,5010,Apr 17 2025
United States,Aug 29 2020,5739,Apr 17 2025
United States,Aug 22 2020,6374,Apr 17 2025
United States,Aug 15 2020,7248,Apr 17 2025
United States,Aug  8 2020,7848,Apr 17 2025
United States,Aug  1 2020,8285,Apr 17 2025
United States,Jul 25 2020,8229,Apr 17 2025
United States,Jul 18 2020,7166,Apr 17 2025
United States,Jul 11 2020,5770,Apr 17 2025
United States,Jul  4 2020,4540,Apr 17 2025
United States,Jun 27 2020,3835,Apr 17 2025
United States,Jun 20 2020,3844,Apr 17 2025
United States,Jun 13 2020,4227,Apr 17 2025
United States,Jun  6 2020,5046,Apr 17 2025
United States,May 30 2020,6160,Apr 17 2025
United States,May 23 2020,7229,Apr 17 2025
United States,May 16 2020,9229,Apr 17 2025
United States,May  9 2020,11223,Apr 17 2025
United States,May  2 2020,13200,Apr 17 2025
United States,Apr 25 2020,15525,Apr 17 2025
United States,Apr 18 2020,17201,Apr 17 2025
