United States COVID-19 Deaths ED Visits and Positivity by State
Date generated: Sun Apr 20 2025 15:34:37 GMT-0400 (Eastern Daylight Time)
State/Territory,HHS Region,Percentage of deaths due to COVID-19 in past week,Percent change percentage of deaths due to COVID-19 in past week,Absolute change percentage of deaths due to COVID-19 in past week,Deaths in the Past 3 Months,Death Rate per 100000 for the Past 3 Months,Total Deaths,Total Death rate per 100000,Percent of ED visits diagnosed as COVID-19,Percent change in % of visits diagnosed as COVID-19 from last week compared to prior week,Test positivity (%) in past week,Change in test positivity compared with prior week,Test positivity (%) in past 2 weeks,Test positivity (%) in past 4 weeks,Test volume in past week,Test volume in past 2 weeks,Test volume in past 4 weeks
Alabama,Region 4,Counts 1-9,N/A,N/A,130,2.1,23767,382,0.5%,-31.6%,4.1,-1,4.9,5,4232,11086,25553
Alaska,Region 10,0,N/A,0,Counts 1-9,Not Calculated (<20 deaths),1629,245.7,0.6%,25.2%,2.6,-0.1,2.6,2.5,4271,11616,26979
American Samoa,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Region 9,Counts 1-9,N/A,N/A,138,1.5,31403,343.2,0.4%,-4.0%,4.3,0.4,3.9,3.7,2607,4967,10738
Arkansas,Region 6,Counts 1-9,N/A,N/A,90,2.4,13451,362.4,0.3%,-32.7%,3.7,0.1,3.6,3.4,8649,20911,44056
California,Region 9,0.7,16.7,0.1,453,1,116222,262.6,0.4%,1.1%,4.3,0.4,3.9,3.7,2607,4967,10738
Colorado,Region 8,Counts 1-9,N/A,N/A,93,1.6,16215,268.6,0.3%,-9.9%,2.8,-0.3,2.9,3.1,2282,5305,11904
Connecticut,Region 1,Counts 1-9,N/A,N/A,80,1.6,13272,272.1,0.6%,-18.1%,3.2,0,3.6,3.6,4634,10716,23121
Delaware,Region 3,0,N/A,0,39,2.9,3869,290.1,0.4%,-7.9%,1.9,-1.7,3.6,3.4,2531,8274,18460
District of Columbia,Region 3,0,N/A,0,Counts 1-9,Not Calculated (<20 deaths),1976,297.1,0.3%,-17.0%,1.9,-1.7,3.6,3.4,2531,8274,18460
Federated States of Micronesia,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,Region 4,0.6,20,0.1,317,0.9,85762,266.2,0.4%,-7.8%,4.1,-1,4.9,5,4232,11086,25553
Georgia,Region 4,Counts 1-9,N/A,N/A,179,1.7,38444,337.5,0.5%,-31.0%,4.1,-1,4.9,5,4232,11086,25553
Guam,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,0.0%,-100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,Region 9,0,N/A,0,Counts 1-9,Not Calculated (<20 deaths),2277,112.8,0.4%,-16.7%,4.3,0.4,3.9,3.7,2607,4967,10738
Idaho,Region 10,0,N/A,N/A,27,1.3,5923,281.2,0.6%,-1.1%,2.6,-0.1,2.6,2.5,4271,11616,26979
Illinois,Region 5,Counts 1-9,N/A,N/A,282,1.8,43211,281.3,0.5%,-21.5%,3.6,0,3.8,3.8,14076,44111,100111
Indiana,Region 5,Counts 1-9,N/A,N/A,216,2.7,28070,353.8,0.4%,-38.1%,3.6,0,3.8,3.8,14076,44111,100111
Iowa,Region 7,Counts 1-9,N/A,N/A,85,2,12083,292.6,0.4%,-16.7%,3.2,-0.4,3.7,3.6,4477,10571,23894
Kansas,Region 7,0,N/A,N/A,64,1.8,11363,321.6,0.3%,-21.7%,3.2,-0.4,3.7,3.6,4477,10571,23894
Kentucky,Region 4,Counts 1-9,N/A,N/A,217,4.1,22159,413.2,0.4%,-38.3%,4.1,-1,4.9,5,4232,11086,25553
Louisiana,Region 6,0,N/A,N/A,66,1.3,18667,349.4,0.6%,-18.1%,3.7,0.1,3.6,3.4,8649,20911,44056
Maine,Region 1,Counts 1-9,N/A,N/A,35,1.8,3835,191.8,0.2%,-22.8%,3.2,0,3.6,3.6,4634,10716,23121
Maryland,Region 3,Counts 1-9,N/A,N/A,154,2.1,19941,273.4,0.5%,-23.0%,1.9,-1.7,3.6,3.4,2531,8274,18460
Massachusetts,Region 1,Counts 1-9,N/A,N/A,146,1.6,22853,257,0.4%,-21.7%,3.2,0,3.6,3.6,4634,10716,23121
Michigan,Region 5,Counts 1-9,N/A,N/A,317,2.5,40719,320.3,0.4%,-28.2%,3.6,0,3.8,3.8,14076,44111,100111
Minnesota,Region 5,Counts 1-9,N/A,N/A,146,2.2,17253,249.6,N/A,N/A,3.6,0,3.8,3.8,14076,44111,100111
Mississippi,Region 4,Counts 1-9,N/A,N/A,94,2.8,16072,464.2,0.6%,-9.6%,4.1,-1,4.9,5,4232,11086,25553
Missouri,Region 7,Counts 1-9,N/A,N/A,178,2.3,24225,312.5,N/A,N/A,3.2,-0.4,3.7,3.6,4477,10571,23894
Montana,Region 8,0,N/A,0,23,1.6,4184,290.8,0.4%,-12.0%,2.8,-0.3,2.9,3.1,2282,5305,11904
Nebraska,Region 7,0,N/A,N/A,55,2.3,6337,272.3,0.3%,-6.1%,3.2,-0.4,3.7,3.6,4477,10571,23894
Nevada,Region 9,0,N/A,N/A,30,0.9,12535,350.6,0.3%,7.3%,4.3,0.4,3.9,3.7,2607,4967,10738
New Hampshire,Region 1,Counts 1-9,N/A,N/A,48,2.6,3711,202,0.4%,-19.0%,3.2,0,3.6,3.6,4634,10716,23121
New Jersey,Region 2,Counts 1-9,N/A,N/A,237,2.1,38126,326.9,0.7%,-8.8%,2.3,-1.9,4.4,4.4,2254,8369,18660
New Mexico,Region 6,0,N/A,N/A,45,1.7,10030,387.5,0.4%,-30.3%,3.7,0.1,3.6,3.4,8649,20911,44056
New York,Region 2,1.2,9.1,0.1,521,2,86350,334,0.7%,-6.9%,2.3,-1.9,4.4,4.4,2254,8369,18660
New York (excludes NYC),N/A,1.1,37.5,0.3,349,2.3,45394,294.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York City,N/A,1.4,-12.5,-0.2,172,1.6,40956,393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,Region 4,1.5,7.1,0.1,330,2.7,37139,297.4,0.6%,-33.4%,4.1,-1,4.9,5,4232,11086,25553
North Dakota,Region 8,Counts 1-9,N/A,N/A,16,Not Calculated (<20 deaths),2825,302.5,0.1%,-52.7%,2.8,-0.3,2.9,3.1,2282,5305,11904
Northern Mariana Islands,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,Region 5,0,N/A,N/A,336,2.3,53378,358.9,0.4%,-10.3%,3.6,0,3.8,3.8,14076,44111,100111
Oklahoma,Region 6,Counts 1-9,N/A,N/A,161,3.5,21082,460.1,N/A,N/A,3.7,0.1,3.6,3.4,8649,20911,44056
Oregon,Region 10,0,N/A,N/A,57,1.1,10349,197.1,0.3%,-15.9%,2.6,-0.1,2.6,2.5,4271,11616,26979
Palau,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,Region 3,Counts 1-9,N/A,N/A,422,2.4,56921,318.8,0.3%,-22.3%,1.9,-1.7,3.6,3.4,2531,8274,18460
Puerto Rico,Region 2,Counts 1-9,N/A,N/A,48,0.8,7277,136.9,N/A,N/A,2.3,-1.9,4.4,4.4,2254,8369,18660
Republic of Marshall Islands,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,Region 1,0,N/A,0,21,1.5,4264,288.3,0.3%,19.0%,3.2,0,3.6,3.6,4634,10716,23121
South Carolina,Region 4,Counts 1-9,N/A,N/A,149,2.4,22888,354.1,0.6%,-30.3%,4.1,-1,4.9,5,4232,11086,25553
South Dakota,Region 8,0,N/A,0,34,3.2,3582,327.8,0.2%,8.9%,2.8,-0.3,2.9,3.1,2282,5305,11904
Tennessee,Region 4,Counts 1-9,N/A,N/A,192,2.4,30847,372.6,0.4%,-39.3%,4.1,-1,4.9,5,4232,11086,25553
Texas,Region 6,Counts 1-9,N/A,N/A,358,1.4,107027,373.2,0.6%,-6.0%,3.7,0.1,3.6,3.4,8649,20911,44056
United States of America,National,0.7,0,0,7180,1.8,1226565,307.3,0.5%,-16.8%,3.4,-0.2,3.7,3.7,50013,135926,303476
Utah,Region 8,Counts 1-9,N/A,N/A,19,Not Calculated (<20 deaths),5934,213,0.4%,16.8%,2.8,-0.3,2.9,3.1,2282,5305,11904
Vermont,Region 1,Counts 1-9,N/A,N/A,29,3.2,1288,146.9,0.4%,-4.8%,3.2,0,3.6,3.6,4634,10716,23121
Virgin Islands,Region 2,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,2.3,-1.9,4.4,4.4,2254,8369,18660
Virginia,Region 3,Counts 1-9,N/A,N/A,219,2.2,26000,259.5,0.5%,-36.4%,1.9,-1.7,3.6,3.4,2531,8274,18460
Washington,Region 10,Counts 1-9,N/A,N/A,84,1,16691,193,0.4%,15.9%,2.6,-0.1,2.6,2.5,4271,11616,26979
West Virginia,Region 3,Counts 1-9,N/A,N/A,54,2.2,9420,378.7,0.4%,-34.7%,1.9,-1.7,3.6,3.4,2531,8274,18460
Wisconsin,Region 5,Counts 1-9,N/A,N/A,170,2.3,18659,252.4,0.4%,-11.4%,3.6,0,3.8,3.8,14076,44111,100111
Wyoming,Region 8,Counts 1-9,N/A,N/A,13,Not Calculated (<20 deaths),2337,332.5,0.0%,0.0%,2.8,-0.3,2.9,3.1,2282,5305,11904
